`mesh_descriptor_uid`,`previous_indexing`,`mesh_previous_indexing_id`
D000001,"Carboxylic Acids (1973-1974)",1
D000002,"Insecticides (1966-1971)",2
D000011,"Mouse Leukemia Viruses (1966-1979)",3
D000015,"Abnormalities (1966-1967)",4
D000016,"Radiation Injuries (1966-1978)",5
D000018,"Stomach (1966-1967)",6
D000019,"Abortion, Induced (1970-1974)",7
D000020,"specific chemical (1971-1974)",8
D000021,"specific chemical (1970-1974)",9
D000023,"Abortion, Therapeutic (1966-1974)",10
D000027,"Abortion, Spontaneous (1966-1974)",11
D000028,"Abortion, Therapeutic (1966-1970)",12
D000036,"Plant Proteins (1971-1975)",13
D000040,"Cyclohexanecarboxylic Acids (1974)",14
D000044,"Denture, Partial (1966-1969)",15
D000046,"Hospitals, University (1975-1979)",16
D000048,"Amoeba (1966-1987)",17
D000051,"specific skin disease/pathology (1966-1968)",18
D000053,"Arachnida (1966-1974)",19
D000057,"Accidents (1966-1974)",20
D000058,"Accidents (1966-1986)",21
D000061,"Accidents (1966-1968)",22
D000066428,"Coal Mining (1965-2014)",23
D000066448,"Automobile Driving (1967-2015)",24
D000066449,"Embryonic Stem Cells (2006-2015)",25
D000066450,"Embryonic Stem Cells (2006-2015)",26
D000066473,"Germ Cells (1974-2015)",27
D000066477,"Employee Performance Appraisal (1963-2015)",28
D000066479,"Criminal Psychology (1963-2015)",29
D000066491,"Decision Making (1972-2015)",30
D000066492,"Aging (1984-2015)",31
D000066499,"Pattern Recognition, Visual (1977-2015)",32
D000066502,"Intergenerational Relations (1963-2015)",33
D000066511,"Spouse Abuse (1997-2015)",34
D000066530,"Rehabilitation (1963-2015)",35
D000066550,"Child Abuse (1963-2016)",36
D000066553,"Child Behavior Disorders (1963-2016)",37
D000066630,"Gene Expression Regulation (1981-2015)",38
D000066670,"Cell Differentiation (1966-2015)",39
D000066673,"Cell Differentiation (1966-2015)",40
D000066768,"Rehabilitation (2004-2015)",41
D000066889,"Poaceae (1970-2015)",42
D000066928,"Panicum (1981-2015)",43
D000066988,"Diet, Vegetarian (1963-2015)",44
D000066989,"Diet, Vegetarian (1967-2015)",45
D000067,"Accounting (1966-1977)",46
D000067009,"Sports (1970-2014)",47
D000067011,"Nutrition Disorders (1980-2014)",48
D000067012,"Economics (1975-2014)",49
D000067030,"Beverages (1963-2015)",50
D000067048,"Dietary Fats (1969-2015)",51
D000067073,"Depression (1965-2014)",52
D000067074,"Peer Group (1968-2015)",53
D000067075,"Vegetables (1966-2015)",54
D000067088,"Advertising as Topic (1983-2014)",55
D000067148,"Fungi or specific/virology (1994-2015)",56
D000067190,"Robotics (1999-2015)",57
D000067208,"Shellfish (1964-2015)",58
D000067248,"Treatment Failure (2005-2015)",59
D000067251,"Recurrence (1972-2015)",60
D000067268,"Perfusion (1963-2015)",61
D000067269,"Diet, Vegetarian (1967-2015)",62
D000067292,"Alcohol Drinking (1963-2015)",63
D000067329,"Obesity (2005-2015)",64
D000067348,"Cereals (1973-2015)",65
D000067369,"microsurgery (1985-2015)",66
D000067397,"Organophosphorus Compounds (1982-2015)",67
D000067449,"Anger (1977-2016)",68
D000067450,"Sports (1970-2015)",69
D000067453,"Warfare (1996-2015)",70
D000067454,"Communication Disorders (1990-2015)",71
D000067470,"Cellular Reprogramming (2015)",72
D000067489,"Self-Concept (1985-2015)",73
D000067492,"RNA Interference (2004-2015)",74
D000067493,"Scattering, Radiation (1974-2015)",75
D000067495,"Risk Assessment (2002-2015)",76
D000067498,"Patient Care Team (2000-2015)",77
D000067528,"Nuclear Proteins (1995-2015)",78
D000067531,"HMGB1 Protein (2004-2015)",79
D000067552,"Mutation (1977-2015)",80
D000067561,"Medication Errors (2003-2015)",81
D000067562,"Age of Onset (1984-2015)",82
D000067563,"Basidiomycota (1980-2015)",83
D000067565,"Agriculture (1963-2015)",84
D000067570,"Learning (1963-2015)",85
D000067572,"Mining (1963-2015)",86
D000067576,"Child Welfare (1978-2015)",87
D000067596,"Interleukins (2005-2015)",88
D000067616,"S100 Proteins (2003-2015)",89
D000067636,"Drosophila (1963-2015)",90
D000067696,"Nuclear Proteins (1995-2015)",91
D000067698,"Proteins (1996-2005)",92
D000067699,"Proteins (1995-1997)",93
D000067719,"Nerve Tissue Proteins (1997-2015)",94
D000067736,"Nerve Tissue Proteins (2006-2015)",95
D000067756,"Receptors, Glucagon (1995-2015)",96
D000067757,"Receptors, Glucagon (1995-2015)",97
D000067758,"Receptors, Glucagon (2000-2015)",98
D000067759,"Receptors, Immunologic (1993-2015)",99
D000067776,"RNA-Binding Proteins (1993-2015)",100
D000067777,"ELAV Proteins  (2005-2015)",101
D000067778,"ELAV Proteins  (2005-2015)",102
D000067779,"ELAV Proteins (2005-2015)",103
D000067780,"RNA-Binding Proteins (2000-2015)",104
D000067796,"Dairy Products (1964-2015)",105
D000067877,"Child Development Disorders, Pervasive (2010-2015)",106
D000067878,"Ribonucleoproteins (1997-2004)",107
D000067879,"Ribonucleoproteins (1997-2004)",108
D000067940,"Glycemic Index (2003-2015)",109
D000067956,"Adenylyl Cyclase/antagonists & inhibitors (1968-2015)",110
D000067996,"Macrophages (1983-2015)",111
D000068016,"Bacteria (2001-2015)",112
D000068036,"Cartoons (2014-2015)",113
D000068037,"Susan (1988-2015)",114
D000068079,"Motor Skills Disorders (1998-2015)",115
D000068097,"Maternal Welfare (1974-2015)",116
D000068098,"Seeds (2000-2015)",117
D000068101,"Maternal-Child Health Centers (1978-2015)",118
D000068104,"Infant Welfare (1994-2015)",119
D000068156,"Learning (2010-2015)",120
D000068181,"Prunus (2001-2015)",121
D000068217,"Social Work (2010-2015)",122
D000068219,"Prunus (2001-2015)",123
D000068220,"Prunus (2001-2015)",124
D000068237,"Counseling (2005-2015)",125
D000068239,"Prunus (2001-2015)",126
D000068242,"Prunus (2001-2015)",127
D000068276,"Artiodactyla (1963-2015)",128
D000068316,"Recreation (1989-2015)",129
D000068378,"Angiosperms (2004-2015)",130
D000068476,"China (1966-2015)",131
D000068536,"Gram-Positive Bacteria (2004-2015)",132
D000068558,"Antihypertensive Agents (2012-2015)",133
D000068617,"Genetics (1963-2015)",134
D000068676,"Polygonaceae (2002-2015)",135
D000068760,"Serotonin Uptake Inhibitors (1999-2015)",136
D000068776,"Sleep Wake Disorders (1999-2015)",137
D000068796,"Orexin Receptors (2014-2015)",138
D000068798,"Apocynaceae  (2007-2015)",139
D000068801,"Naphthalenes (2007-2015)",140
D000068819,"Lamiaceae (2002-2015)",141
D000068837,"Ascomycota (2004-2015)",142
D000068856,"Syzygium (2002-2015)",143
D000068858,"Tea (1995-2015)",144
D000068884,"Aging (2015)",145
