`mesh_concept_uid`,`mesh_term_id`
M0000001,1
M0353609,2
M0353609,3
M0353609,4
M0353609,5
M0353609,6
M0000002,7
M0000002,8
M0352201,9
M0352200,10
M0000003,11
M0000003,12
M0000003,13
M0000003,14
M0000003,15
M0000003,16
M0000003,17
M0000003,18
M0000004,19
M0511063,20
M0000005,21
M0000005,22
M0000006,23
M0000006,24
M0000006,25
M0000006,26
M0000007,27
M0000007,28
M0000007,29
M0000007,30
M0000008,31
M0000008,32
M0000008,33
M0000008,34
M0000009,35
M0000009,36
M0000009,37
M0000009,38
M000615276,39
M000615276,40
M000615276,41
M000615276,42
M000615216,43
M000615216,44
M000615216,45
M000615216,46
M000616776,47
M000616776,48
M000616776,49
M000616776,50
M000615203,51
M000615203,52
M000615203,53
M000615203,54
M000615203,55
M0000010,56
M0000010,57
M0000010,58
M0000010,59
M0000010,60
M0000010,61
M0000010,62
M0000010,63
M0000010,64
M0000010,65
M0000010,66
M0000010,67
M0000010,68
M0000010,69
M0000010,70
M0000010,71
M0000010,72
M0000010,73
M0000010,74
M0000010,75
M0000011,76
M0000011,77
M0000011,78
M0000011,79
M0000012,80
M0000012,81
M0000012,82
M0000012,83
M0000012,84
M0000012,85
M0000012,86
M0000012,87
M0000012,88
M0000012,89
M0000012,90
M0000012,91
M0000012,92
M0000012,93
M0000012,94
M0000013,95
M0000013,96
M0000013,97
M0000013,98
M0000013,99
M0000013,100
M0000013,101
M0000013,102
M0000013,103
M0000013,104
M0000013,105
M0000013,106
M0000013,107
M0000013,108
M0000014,109
M0000014,110
M0000014,111
M0000014,112
M0000014,113
M0000014,114
M0000015,115
M0000015,116
M0000016,117
M0000016,118
M0000016,119
M0000016,120
M0000016,121
M0000016,122
M0000017,123
M0000017,124
M0000017,125
M0000017,126
M0000017,127
M0000017,128
M0000017,129
M0000017,130
M0000017,131
M0000017,132
M0000017,133
M0000017,134
M0000017,135
M0000017,136
M0000017,137
M0000017,138
M0000019,139
M0000018,140
M0000018,141
M0000018,142
M0000018,143
M0000020,144
M0000020,145
M0000021,146
M0000021,147
M0000021,148
M0000021,149
M0000021,150
M0000021,151
M0556260,152
M0556260,153
M0556260,154
M0556260,155
M0000022,156
M0000022,157
M0000022,158
M0000022,159
M0000022,160
M0000022,161
M0000022,162
M0000023,163
M0000023,164
M0000023,165
M0000023,166
M0000023,167
M0000024,168
M0000024,169
M0000024,170
M0000024,171
M0000024,172
M0000024,173
M0000024,174
M0000024,175
M0000024,176
M0000024,177
M0000025,178
M0000025,179
M0000025,180
M0000025,181
M0000026,182
M0000026,183
M0000026,184
M0000026,185
M0000026,186
M0000026,187
M0000026,188
M0000026,189
M0000028,190
M0000028,191
M0000028,192
M0000028,193
M0000028,194
M0000028,195
M0000027,196
M0000027,197
M0000027,198
M0000027,199
M0000027,200
M0000027,201
M0000029,202
M0000029,203
M0000029,204
M0000029,205
M0000029,206
M0000029,207
M0000029,208
M0000029,209
M0000030,210
M0000030,211
M0000030,212
M0000030,213
M0000031,214
M0000031,215
M0000031,216
M0000031,217
M0000032,218
M0000032,219
M0000032,220
M0000032,221
M0000032,222
M0000032,223
M0000032,224
M0000032,225
M0000032,226
M0000032,227
M0000033,228
M0000033,229
M0000033,230
M0000033,231
M0000037,232
M0000037,233
M0000037,234
M0000037,235
M0000037,236
M0000037,237
M0000035,238
M0000035,239
M0000035,240
M0000035,241
M0000043,242
M0000043,243
M0000043,244
M0000043,245
M0000043,246
M0000043,247
M0000043,248
M0000043,249
M0000036,250
M0000036,251
M0000036,252
M0000036,253
M0000036,254
M0000034,255
M0000034,256
M0000034,257
M0000034,258
M0000034,259
M0000034,260
M0000034,261
M0000034,262
M0000039,263
M0000039,264
M0000039,265
M0000039,266
M0000039,267
M0000044,268
M0000044,269
M0000044,270
M0000044,271
M0000044,272
M0000040,273
M0000040,274
M0000040,275
M0000040,276
M0000040,277
M0000041,278
M0000041,279
M0000042,280
M0000042,281
M0000045,282
M0000045,283
M0000045,284
M0000045,285
M0000038,286
M0000038,287
M0000038,288
M0000038,289
M0000047,290
M0000047,291
M0000047,292
M0000047,293
M0000046,294
M0000048,295
M0000048,296
M0000048,297
M0000048,298
M0000050,299
M0000050,300
M0000050,301
M0000050,302
M0000051,303
M0000051,304
M0000051,305
M0000051,306
M0000052,307
M0000052,308
M0000052,309
M0000052,310
M0000052,311
M0000052,312
M0000053,313
M0000053,314
M0000053,315
M0000053,316
M0000054,317
M0000054,318
M0000055,319
M0000057,320
M0000056,321
M0000058,322
M0000058,323
M0000058,324
M0000058,325
M0000058,326
M0000059,327
M0000059,328
M0000060,329
M0000060,330
M0000060,331
M0000060,332
M0000061,333
M0000061,334
M0000061,335
M0330738,336
M0330737,337
M0330678,338
M0330677,339
M0330680,340
M0330679,341
M0000062,342
M0000063,343
M0000065,344
M0000065,345
M0000065,346
M0000065,347
M0372380,348
M0372380,349
M0000066,350
M0000064,351
M0000064,352
M0000067,353
M0000067,354
M0000067,355
M0000067,356
M0000068,357
M0000068,358
M0000068,359
M0000068,360
M0000068,361
M0000068,362
M0000068,363
M0000068,364
M0000068,365
M0000068,366
M0397059,367
M0397059,368
M0397059,369
M0000069,370
M0000069,371
M0000069,372
M0000069,373
M0000069,374
M0000069,375
M0000069,376
M0000069,377
M0000069,378
M0000069,379
M0000069,380
M0000069,381
M0000071,382
M0000071,383
M0000071,384
M0000071,385
M0000072,386
M0000073,387
M0000073,388
M0000073,389
M0000073,390
M0000070,391
M0000070,392
M0000074,393
M0000074,394
M0000075,395
M0000075,396
M0000075,397
M0000075,398
M0000075,399
M0000075,400
M0000075,401
M0000076,402
M0000076,403
M0000077,404
M0000077,405
M0000078,406
M0000078,407
M0000078,408
M0000078,409
M0000079,410
M0000080,411
M0000080,412
M0000081,413
M0000081,414
M0000081,415
M0000081,416
M0000081,417
M0000081,418
M0000081,419
M0000081,420
M0000081,421
M0000081,422
M0000081,423
M0000081,424
M0000081,425
M0000081,426
M0000081,427
M0000081,428
M0000081,429
M0000081,430
M0000081,431
M0000081,432
M0000081,433
M0000083,434
M0000083,435
M0000083,436
M0000083,437
M0000084,438
M0000084,439
M0000084,440
M0000084,441
M0000085,442
M0000085,443
M0000085,444
M0000085,445
M0000085,446
M0000085,447
M000597654,448
M000597654,449
M0000086,450
M0000086,451
M0000087,452
M0000087,453
M0000087,454
M0000087,455
M0000088,456
M0000088,457
M0000088,458
M0000088,459
M0000090,460
M0000090,461
M0000090,462
M0000090,463
M0000089,464
M0000089,465
M0000089,466
M0000089,467
M0000091,468
M0000091,469
M0000091,470
M0000091,471
M0000092,472
M0000092,473
M0000093,474
M0000093,475
M0000093,476
M0000093,477
M0000093,478
M0000093,479
M0471007,480
M0471007,481
M0000094,482
M0000094,483
M000594798,484
M000594798,485
M000594936,486
M000594936,487
M000594936,488
M000594936,489
M000594936,490
M000594936,491
M000594936,492
M000594936,493
M000594936,494
M000594936,495
M000594935,496
M000594935,497
M000594935,498
M000594935,499
M000594935,500
M000594935,501
M000594937,502
M000594937,503
M000594937,504
M000594937,505
M000595368,506
M000595368,507
M000595368,508
M000595368,509
M000595368,510
M000595368,511
M000595368,512
M000595368,513
M000595368,514
M000595369,515
M000595369,516
M000595369,517
M000595369,518
M000595369,519
M000595370,520
M000595370,521
M000595370,522
M000595370,523
M000595370,524
M000595433,525
M000595433,526
M000595433,527
M000595433,528
M000595433,529
M000595433,530
M000595433,531
M000595433,532
M000595433,533
M000595433,534
M000595463,535
M000595463,536
M000595463,537
M000595463,538
M000595463,539
M000602080,540
M000602080,541
M000602080,542
M000602080,543
M000595471,544
M000595471,545
M000595471,546
M000595471,547
M000595471,548
M000595471,549
M000595471,550
M000595471,551
M000595471,552
M000595471,553
M000595471,554
M000595471,555
M000595471,556
M000595471,557
M000595471,558
M000595471,559
M000595471,560
